ko;cpd;referenceAG;compoundclass;compoundname;genesymbol;genename;enzyme_activity
K01584;C06269;EPA;Metal;Arsenic;adiA;arginine decarboxylase;decarboxylase
K01585;C01783;EPC;Organometallic;Arylmercury;speA;arginine decarboxylase;decarboxylase
K01585;C01783;WFD;Organometallic;Arylmercury;speA;arginine decarboxylase;decarboxylase
K01585;C01783;EPC;Polyaromatic;Arylmercury;speA;arginine decarboxylase;decarboxylase
K01585;C01783;WFD;Polyaromatic;Arylmercury;speA;arginine decarboxylase;decarboxylase
K01585;C06269;ATSDR;Metal;Arsenic;speA;arginine decarboxylase;decarboxylase
K01585;C06269;EPA;Metal;Arsenic;speA;arginine decarboxylase;decarboxylase
K01585;C06269;PSL;Metal;Arsenic;speA;arginine decarboxylase;decarboxylase
K01585;C06269;IARC1;Metal;Arsenic;speA;arginine decarboxylase;decarboxylase
K01593;C13827;ATSDR;Chlorinated;Chloroform;DDC;aromatic-L-amino-acid/L-tryptophan decarboxylase;decarboxylase
K01593;C13827;CONAMA;Chlorinated;Chloroform;DDC;aromatic-L-amino-acid/L-tryptophan decarboxylase;decarboxylase
K01593;C13827;EPA;Chlorinated;Chloroform;DDC;aromatic-L-amino-acid/L-tryptophan decarboxylase;decarboxylase
K01593;C13827;IARC2B;Chlorinated;Chloroform;DDC;aromatic-L-amino-acid/L-tryptophan decarboxylase;decarboxylase
K01593;C13827;PSL;Chlorinated;Chloroform;DDC;aromatic-L-amino-acid/L-tryptophan decarboxylase;decarboxylase
K01593;C13827;EPC;Chlorinated;Chloroform;DDC;aromatic-L-amino-acid/L-tryptophan decarboxylase;decarboxylase
K01593;C13827;WFD;Chlorinated;Chloroform;DDC;aromatic-L-amino-acid/L-tryptophan decarboxylase;decarboxylase
K01593;C13827;ATSDR;Aliphatic;Chloroform;DDC;aromatic-L-amino-acid/L-tryptophan decarboxylase;decarboxylase
K01593;C13827;CONAMA;Aliphatic;Chloroform;DDC;aromatic-L-amino-acid/L-tryptophan decarboxylase;decarboxylase
K01593;C13827;EPA;Aliphatic;Chloroform;DDC;aromatic-L-amino-acid/L-tryptophan decarboxylase;decarboxylase
K01593;C13827;IARC2B;Aliphatic;Chloroform;DDC;aromatic-L-amino-acid/L-tryptophan decarboxylase;decarboxylase
K01593;C13827;PSL;Aliphatic;Chloroform;DDC;aromatic-L-amino-acid/L-tryptophan decarboxylase;decarboxylase
K01593;C13827;EPC;Aliphatic;Chloroform;DDC;aromatic-L-amino-acid/L-tryptophan decarboxylase;decarboxylase
K01593;C13827;WFD;Aliphatic;Chloroform;DDC;aromatic-L-amino-acid/L-tryptophan decarboxylase;decarboxylase
K01595;C05371;IARC2B;Nitrogen-containing;Microcystin LR;ppc;phosphoenolpyruvate carboxylase;carboxylase
K01595;C05371;IARC2B;Aromatic;Microcystin LR;ppc;phosphoenolpyruvate carboxylase;carboxylase
K01599;C11057;IARC1;Chlorinated;3,4,3',4'-Tetrachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C11057;ATSDR;Chlorinated;3,4,3',4'-Tetrachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C11057;IARC1;Polyaromatic;3,4,3',4'-Tetrachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C11057;ATSDR;Polyaromatic;3,4,3',4'-Tetrachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C14199;ATSDR;Chlorinated;2,2',5,5'-Tetrachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C14199;IARC1;Chlorinated;2,2',5,5'-Tetrachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C14199;ATSDR;Polyaromatic;2,2',5,5'-Tetrachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C14199;IARC1;Polyaromatic;2,2',5,5'-Tetrachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C14202;IARC1;Chlorinated;2,2',4,4',6,6'-Hexachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C14202;ATSDR;Chlorinated;2,2',4,4',6,6'-Hexachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C14202;IARC1;Polyaromatic;2,2',4,4',6,6'-Hexachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C14202;ATSDR;Polyaromatic;2,2',4,4',6,6'-Hexachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C14247;IARC1;Chlorinated;2,2',4,4'-Tetrachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C14247;ATSDR;Chlorinated;2,2',4,4'-Tetrachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C14247;IARC1;Polyaromatic;2,2',4,4'-Tetrachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C14247;ATSDR;Polyaromatic;2,2',4,4'-Tetrachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C18115;IARC1;Chlorinated;3,4,5,3',4',5'-Hexachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C18115;ATSDR;Chlorinated;3,4,5,3',4',5'-Hexachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C18115;IARC1;Polyaromatic;3,4,5,3',4',5'-Hexachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01599;C18115;ATSDR;Polyaromatic;3,4,5,3',4',5'-Hexachlorobiphenyl;hemE;uroporphyrinogen decarboxylase;decarboxylase
K01612;C14219;CONAMA;Aromatic;2-Chlorophenol;bsdC;vanillate/4-hydroxybenzoate decarboxylase subunit C;decarboxylase
K01612;C14219;EPA;Aromatic;2-Chlorophenol;bsdC;vanillate/4-hydroxybenzoate decarboxylase subunit C;decarboxylase
K01612;C14219;ATSDR;Aromatic;2-Chlorophenol;bsdC;vanillate/4-hydroxybenzoate decarboxylase subunit C;decarboxylase
K01612;C14219;CONAMA;Chlorinated;2-Chlorophenol;bsdC;vanillate/4-hydroxybenzoate decarboxylase subunit C;decarboxylase
K01612;C14219;EPA;Chlorinated;2-Chlorophenol;bsdC;vanillate/4-hydroxybenzoate decarboxylase subunit C;decarboxylase
K01612;C14219;ATSDR;Chlorinated;2-Chlorophenol;bsdC;vanillate/4-hydroxybenzoate decarboxylase subunit C;decarboxylase
K01622;C17383;IARC2B;Metal;Cobaltous sulfate;K01622;fructose 1,6-bisphosphate aldolase/phosphatase;aldolase
K01622;C17383;IARC2B;Inorganic;Cobaltous sulfate;K01622;fructose 1,6-bisphosphate aldolase/phosphatase;aldolase
K01623;C17383;IARC2B;Metal;Cobaltous sulfate;ALDO;fructose-bisphosphate aldolase, class I;aldolase
K01623;C17383;IARC2B;Inorganic;Cobaltous sulfate;ALDO;fructose-bisphosphate aldolase, class I;aldolase
K01624;C17383;IARC2B;Metal;Cobaltous sulfate;FBA;fructose-bisphosphate aldolase, class II;aldolase
K01624;C17383;IARC2B;Inorganic;Cobaltous sulfate;FBA;fructose-bisphosphate aldolase, class II;aldolase
K01668;C14219;ATSDR;Aromatic;2-Chlorophenol;E4.1.99.2;tyrosine phenol-lyase;lyase
K01668;C14219;CONAMA;Aromatic;2-Chlorophenol;E4.1.99.2;tyrosine phenol-lyase;lyase
K01668;C14219;EPA;Aromatic;2-Chlorophenol;E4.1.99.2;tyrosine phenol-lyase;lyase
K01668;C14219;ATSDR;Chlorinated;2-Chlorophenol;E4.1.99.2;tyrosine phenol-lyase;lyase
K01668;C14219;CONAMA;Chlorinated;2-Chlorophenol;E4.1.99.2;tyrosine phenol-lyase;lyase
K01668;C14219;EPA;Chlorinated;2-Chlorophenol;E4.1.99.2;tyrosine phenol-lyase;lyase
K01672;C07041;IARC2B;Nitrogen-containing;Hydrochlorothiazide;CA;carbonic anhydrase;carbonic anhydrase
K01672;C07041;IARC2B;Sulfur-containing;Hydrochlorothiazide;CA;carbonic anhydrase;carbonic anhydrase
K01672;C07041;IARC2B;Chlorinated;Hydrochlorothiazide;CA;carbonic anhydrase;carbonic anhydrase
K01672;C07041;IARC2B;Aromatic;Hydrochlorothiazide;CA;carbonic anhydrase;carbonic anhydrase
K01672;C07460;PSL;Nitrogen-containing;Chloraminophenamide;CA;carbonic anhydrase;carbonic anhydrase
K01672;C07460;PSL;Sulfur-containing;Chloraminophenamide;CA;carbonic anhydrase;carbonic anhydrase
K01672;C07460;PSL;Chlorinated;Chloraminophenamide;CA;carbonic anhydrase;carbonic anhydrase
K01672;C07460;PSL;Aromatic;Chloraminophenamide;CA;carbonic anhydrase;carbonic anhydrase
K01672;C11172;EPC;Nitrogen-containing;Simazine;CA;carbonic anhydrase;carbonic anhydrase
K01672;C11172;WFD;Nitrogen-containing;Simazine;CA;carbonic anhydrase;carbonic anhydrase
K01672;C11172;EPC;Chlorinated;Simazine;CA;carbonic anhydrase;carbonic anhydrase
K01672;C11172;WFD;Chlorinated;Simazine;CA;carbonic anhydrase;carbonic anhydrase
K01672;C19262;IARC2B;Nitrogen-containing;4-Methylimidazole;CA;carbonic anhydrase;carbonic anhydrase
K01672;C19262;IARC2B;Aliphatic;4-Methylimidazole;CA;carbonic anhydrase;carbonic anhydrase
K01673;C07041;IARC2B;Nitrogen-containing;Hydrochlorothiazide;cynT;carbonic anhydrase;carbonic anhydrase
K01673;C07041;IARC2B;Sulfur-containing;Hydrochlorothiazide;cynT;carbonic anhydrase;carbonic anhydrase
K01673;C07041;IARC2B;Chlorinated;Hydrochlorothiazide;cynT;carbonic anhydrase;carbonic anhydrase
K01673;C07041;IARC2B;Aromatic;Hydrochlorothiazide;cynT;carbonic anhydrase;carbonic anhydrase
K01673;C07460;PSL;Nitrogen-containing;Chloraminophenamide;cynT;carbonic anhydrase;carbonic anhydrase
K01673;C07460;PSL;Sulfur-containing;Chloraminophenamide;cynT;carbonic anhydrase;carbonic anhydrase
K01673;C07460;PSL;Chlorinated;Chloraminophenamide;cynT;carbonic anhydrase;carbonic anhydrase
K01673;C07460;PSL;Aromatic;Chloraminophenamide;cynT;carbonic anhydrase;carbonic anhydrase
K01673;C11172;EPC;Nitrogen-containing;Simazine;cynT;carbonic anhydrase;carbonic anhydrase
K01673;C11172;WFD;Nitrogen-containing;Simazine;cynT;carbonic anhydrase;carbonic anhydrase
K01673;C11172;EPC;Chlorinated;Simazine;cynT;carbonic anhydrase;carbonic anhydrase
K01673;C11172;WFD;Chlorinated;Simazine;cynT;carbonic anhydrase;carbonic anhydrase
K01673;C19262;IARC2B;Nitrogen-containing;4-Methylimidazole;cynT;carbonic anhydrase;carbonic anhydrase
K01673;C19262;IARC2B;Aliphatic;4-Methylimidazole;cynT;carbonic anhydrase;carbonic anhydrase
K01674;C07041;IARC2B;Nitrogen-containing;Hydrochlorothiazide;cah;carbonic anhydrase;carbonic anhydrase
K01674;C07041;IARC2B;Sulfur-containing;Hydrochlorothiazide;cah;carbonic anhydrase;carbonic anhydrase
K01674;C07041;IARC2B;Chlorinated;Hydrochlorothiazide;cah;carbonic anhydrase;carbonic anhydrase
K01674;C07041;IARC2B;Aromatic;Hydrochlorothiazide;cah;carbonic anhydrase;carbonic anhydrase
K01674;C07460;PSL;Nitrogen-containing;Chloraminophenamide;cah;carbonic anhydrase;carbonic anhydrase
K01674;C07460;PSL;Sulfur-containing;Chloraminophenamide;cah;carbonic anhydrase;carbonic anhydrase
K01674;C07460;PSL;Chlorinated;Chloraminophenamide;cah;carbonic anhydrase;carbonic anhydrase
K01674;C07460;PSL;Aromatic;Chloraminophenamide;cah;carbonic anhydrase;carbonic anhydrase
K01674;C11172;EPC;Nitrogen-containing;Simazine;cah;carbonic anhydrase;carbonic anhydrase
K01674;C11172;WFD;Nitrogen-containing;Simazine;cah;carbonic anhydrase;carbonic anhydrase
K01674;C11172;EPC;Chlorinated;Simazine;cah;carbonic anhydrase;carbonic anhydrase
K01674;C11172;WFD;Chlorinated;Simazine;cah;carbonic anhydrase;carbonic anhydrase
K01674;C19262;IARC2B;Nitrogen-containing;4-Methylimidazole;cah;carbonic anhydrase;carbonic anhydrase
K01674;C19262;IARC2B;Aliphatic;4-Methylimidazole;cah;carbonic anhydrase;carbonic anhydrase
K01708;C07308;IARC2B;Inorganic;Cacodylate;garD;galactarate dehydratase;dehydratase
K01708;C07308;ATSDR;Inorganic;Cacodylate;garD;galactarate dehydratase;dehydratase
K01708;C07308;IARC2B;Metal;Cacodylate;garD;galactarate dehydratase;dehydratase
K01708;C07308;ATSDR;Metal;Cacodylate;garD;galactarate dehydratase;dehydratase
K01721;C19302;IARC2B;Nitrogen-containing;Thioacetamide;nthA;nitrile hydratase subunit alpha;hydratase
K01721;C19302;IARC2B;Sulfur-containing;Thioacetamide;nthA;nitrile hydratase subunit alpha;hydratase
K01721;C19302;IARC2B;Aliphatic;Thioacetamide;nthA;nitrile hydratase subunit alpha;hydratase
K01729;C11146;IARC2B;Organometallic;Methylmercury chloride;algL;poly(beta-D-mannuronate) lyase;lyase
K01729;C11146;EPC;Organometallic;Methylmercury chloride;algL;poly(beta-D-mannuronate) lyase;lyase
K01729;C11146;WFD;Organometallic;Methylmercury chloride;algL;poly(beta-D-mannuronate) lyase;lyase
K01729;C11146;IARC2B;Chlorinated;Methylmercury chloride;algL;poly(beta-D-mannuronate) lyase;lyase
K01729;C11146;EPC;Chlorinated;Methylmercury chloride;algL;poly(beta-D-mannuronate) lyase;lyase
K01729;C11146;WFD;Chlorinated;Methylmercury chloride;algL;poly(beta-D-mannuronate) lyase;lyase
K01732;C06681;IARC2B;Nitrogen-containing;Mitomycin;E4.2.2.10;pectin lyase;lyase
K01732;C06681;IARC2B;Polyaromatic;Mitomycin;E4.2.2.10;pectin lyase;lyase
K01743;C07041;IARC2B;Nitrogen-containing;Hydrochlorothiazide;E4.2.1.1;carbonic anhydrase;carbonic anhydrase
K01743;C07041;IARC2B;Sulfur-containing;Hydrochlorothiazide;E4.2.1.1;carbonic anhydrase;carbonic anhydrase
K01743;C07041;IARC2B;Chlorinated;Hydrochlorothiazide;E4.2.1.1;carbonic anhydrase;carbonic anhydrase
K01743;C07041;IARC2B;Aromatic;Hydrochlorothiazide;E4.2.1.1;carbonic anhydrase;carbonic anhydrase
K01743;C07460;PSL;Nitrogen-containing;Chloraminophenamide;E4.2.1.1;carbonic anhydrase;carbonic anhydrase
K01743;C07460;PSL;Sulfur-containing;Chloraminophenamide;E4.2.1.1;carbonic anhydrase;carbonic anhydrase
K01743;C07460;PSL;Chlorinated;Chloraminophenamide;E4.2.1.1;carbonic anhydrase;carbonic anhydrase
K01743;C07460;PSL;Aromatic;Chloraminophenamide;E4.2.1.1;carbonic anhydrase;carbonic anhydrase
K01743;C11172;EPC;Nitrogen-containing;Simazine;E4.2.1.1;carbonic anhydrase;carbonic anhydrase
K01743;C11172;WFD;Nitrogen-containing;Simazine;E4.2.1.1;carbonic anhydrase;carbonic anhydrase
K01743;C11172;EPC;Chlorinated;Simazine;E4.2.1.1;carbonic anhydrase;carbonic anhydrase
K01743;C11172;WFD;Chlorinated;Simazine;E4.2.1.1;carbonic anhydrase;carbonic anhydrase
K01745;C19275;IARC2B;Nitrogen-containing;Nitromethane;hutH;histidine ammonia-lyase;ammonia-lyase
K01745;C19275;IARC2B;Inorganic;Nitromethane;hutH;histidine ammonia-lyase;ammonia-lyase
K01749;C15234;EPC;Metal;Lead nitrate;hemC;hydroxymethylbilane synthase;synthase
K01749;C15234;WFD;Metal;Lead nitrate;hemC;hydroxymethylbilane synthase;synthase
K01749;C15234;EPC;Inorganic;Lead nitrate;hemC;hydroxymethylbilane synthase;synthase
K01749;C15234;WFD;Inorganic;Lead nitrate;hemC;hydroxymethylbilane synthase;synthase
K01749;C15234;EPC;Nitrogen-containing;Lead nitrate;hemC;hydroxymethylbilane synthase;synthase
K01749;C15234;WFD;Nitrogen-containing;Lead nitrate;hemC;hydroxymethylbilane synthase;synthase
K01758;C07313;IARC2B;Nitrogen-containing;Streptozocin;CTH;cystathionine gamma-lyase;lyase
K01758;C07313;IARC2B;Aliphatic;Streptozocin;CTH;cystathionine gamma-lyase;lyase
K01768;C15224;EPC;Metal;Tributyltin chloride;E4.6.1.1;adenylate cyclase;cyclase
K01768;C15224;WFD;Metal;Tributyltin chloride;E4.6.1.1;adenylate cyclase;cyclase
K01768;C15224;EPC;Organometallic;Tributyltin chloride;E4.6.1.1;adenylate cyclase;cyclase
K01768;C15224;WFD;Organometallic;Tributyltin chloride;E4.6.1.1;adenylate cyclase;cyclase
K01779;C17383;IARC2B;Metal;Cobaltous sulfate;racD;aspartate racemase;racemase
K01779;C17383;IARC2B;Inorganic;Cobaltous sulfate;racD;aspartate racemase;racemase
K01822;C15233;WFD;Metal;Cadmium chloride;ksi;steroid Delta-isomerase;isomerase
K01822;C15233;EPC;Metal;Cadmium chloride;ksi;steroid Delta-isomerase;isomerase
K01822;C15233;PSL;Metal;Cadmium chloride;ksi;steroid Delta-isomerase;isomerase
K01822;C15233;WFD;Inorganic;Cadmium chloride;ksi;steroid Delta-isomerase;isomerase
K01822;C15233;EPC;Inorganic;Cadmium chloride;ksi;steroid Delta-isomerase;isomerase
K01822;C15233;PSL;Inorganic;Cadmium chloride;ksi;steroid Delta-isomerase;isomerase
K01822;C15233;WFD;Chlorinated;Cadmium chloride;ksi;steroid Delta-isomerase;isomerase
K01822;C15233;EPC;Chlorinated;Cadmium chloride;ksi;steroid Delta-isomerase;isomerase
K01822;C15233;PSL;Chlorinated;Cadmium chloride;ksi;steroid Delta-isomerase;isomerase
K01830;C06354;IARC2B;Polyaromatic;Benzophenone;PTGDS;prostaglandin-H2 D-isomerase;isomerase
K01830;C15224;WFD;Metal;Tributyltin chloride;PTGDS;prostaglandin-H2 D-isomerase;isomerase
K01830;C15224;EPC;Metal;Tributyltin chloride;PTGDS;prostaglandin-H2 D-isomerase;isomerase
K01830;C15224;WFD;Organometallic;Tributyltin chloride;PTGDS;prostaglandin-H2 D-isomerase;isomerase
K01830;C15224;EPC;Organometallic;Tributyltin chloride;PTGDS;prostaglandin-H2 D-isomerase;isomerase
K01870;C19171;ATSDR;Metal;Cobalt;IARS;isoleucyl-tRNA synthetase;synthetase
K01904;C10928;EPC;Aromatic;Alachlor;4CL;4-coumarate--CoA ligase;ligase
K01904;C10928;WFD;Aromatic;Alachlor;4CL;4-coumarate--CoA ligase;ligase
K01904;C10928;EPC;Chlorinated;Alachlor;4CL;4-coumarate--CoA ligase;ligase
K01904;C10928;WFD;Chlorinated;Alachlor;4CL;4-coumarate--CoA ligase;ligase
K01904;C10928;EPC;Nitrogen-containing;Alachlor;4CL;4-coumarate--CoA ligase;ligase
K01904;C10928;WFD;Nitrogen-containing;Alachlor;4CL;4-coumarate--CoA ligase;ligase
K01904;C11065;IARC2B;Chlorinated;Nitrofen;4CL;4-coumarate--CoA ligase;ligase
K01904;C11065;IARC2B;Polyaromatic;Nitrofen;4CL;4-coumarate--CoA ligase;ligase
K01904;C11065;IARC2B;Nitrogen-containing;Nitrofen;4CL;4-coumarate--CoA ligase;ligase
K01904;C11172;WFD;Nitrogen-containing;Simazine;4CL;4-coumarate--CoA ligase;ligase
K01904;C11172;EPC;Nitrogen-containing;Simazine;4CL;4-coumarate--CoA ligase;ligase
K01904;C11172;WFD;Chlorinated;Simazine;4CL;4-coumarate--CoA ligase;ligase
K01904;C11172;EPC;Chlorinated;Simazine;4CL;4-coumarate--CoA ligase;ligase
K01919;C07561;IARC2B;Chlorinated;Carbon tetrachloride;gshA;glutamate--cysteine ligase;ligase
K01919;C07561;EPA;Chlorinated;Carbon tetrachloride;gshA;glutamate--cysteine ligase;ligase
K01919;C07561;CONAMA;Chlorinated;Carbon tetrachloride;gshA;glutamate--cysteine ligase;ligase
K01919;C07561;EPC;Chlorinated;Carbon tetrachloride;gshA;glutamate--cysteine ligase;ligase
K01919;C07561;ATSDR;Chlorinated;Carbon tetrachloride;gshA;glutamate--cysteine ligase;ligase
K01919;C11146;IARC2B;Organometallic;Methylmercury chloride;gshA;glutamate--cysteine ligase;ligase
K01919;C11146;EPC;Organometallic;Methylmercury chloride;gshA;glutamate--cysteine ligase;ligase
K01919;C11146;WFD;Organometallic;Methylmercury chloride;gshA;glutamate--cysteine ligase;ligase
K01919;C11146;IARC2B;Chlorinated;Methylmercury chloride;gshA;glutamate--cysteine ligase;ligase
K01919;C11146;EPC;Chlorinated;Methylmercury chloride;gshA;glutamate--cysteine ligase;ligase
K01919;C11146;WFD;Chlorinated;Methylmercury chloride;gshA;glutamate--cysteine ligase;ligase
K01919;C19302;IARC2B;Nitrogen-containing;Thioacetamide;gshA;glutamate--cysteine ligase;ligase
K01919;C19302;IARC2B;Sulfur-containing;Thioacetamide;gshA;glutamate--cysteine ligase;ligase
K01919;C19302;IARC2B;Aliphatic;Thioacetamide;gshA;glutamate--cysteine ligase;ligase
K01920;C19302;IARC2B;Nitrogen-containing;Thioacetamide;gshB;glutathione synthase;synthase
K01920;C19302;IARC2B;Sulfur-containing;Thioacetamide;gshB;glutathione synthase;synthase
K01920;C19302;IARC2B;Aliphatic;Thioacetamide;gshB;glutathione synthase;synthase
K01946;C11371;IARC2B;Polyaromatic;Nafenopin;ACACB;acetyl-CoA carboxylase / biotin carboxylase 2;carboxylase
K01961;C11371;IARC2B;Polyaromatic;Nafenopin;accC;acetyl-CoA carboxylase, biotin carboxylase subunit;carboxylase
K01962;C11371;IARC2B;Polyaromatic;Nafenopin;accA;acetyl-CoA carboxylase carboxyl transferase subunit alpha;carboxylase
K01963;C11371;IARC2B;Polyaromatic;Nafenopin;accD;acetyl-CoA carboxylase carboxyl transferase subunit beta;carboxylase
K01964;C11371;IARC2B;Polyaromatic;Nafenopin;K01964;acetyl-CoA/propionyl-CoA carboxylase;carboxylase
K01971;C15233;EPC;Metal;Cadmium chloride;ligD;bifunctional non-homologous end joining protein LigD;non-homologous end joining protein
K01971;C15233;PSL;Metal;Cadmium chloride;ligD;bifunctional non-homologous end joining protein LigD;non-homologous end joining protein
K01971;C15233;WFD;Metal;Cadmium chloride;ligD;bifunctional non-homologous end joining protein LigD;non-homologous end joining protein
K01971;C15233;EPC;Inorganic;Cadmium chloride;ligD;bifunctional non-homologous end joining protein LigD;non-homologous end joining protein
K01971;C15233;PSL;Inorganic;Cadmium chloride;ligD;bifunctional non-homologous end joining protein LigD;non-homologous end joining protein
K01971;C15233;WFD;Inorganic;Cadmium chloride;ligD;bifunctional non-homologous end joining protein LigD;non-homologous end joining protein
K01971;C15233;EPC;Chlorinated;Cadmium chloride;ligD;bifunctional non-homologous end joining protein LigD;non-homologous end joining protein
K01971;C15233;PSL;Chlorinated;Cadmium chloride;ligD;bifunctional non-homologous end joining protein LigD;non-homologous end joining protein
K01971;C15233;WFD;Chlorinated;Cadmium chloride;ligD;bifunctional non-homologous end joining protein LigD;non-homologous end joining protein
K01988;C07313;IARC2B;Nitrogen-containing;Streptozocin;A4GALT;lactosylceramide 4-alpha-galactosyltransferase;4-alpha-galactosyltransferase
K01988;C07313;IARC2B;Aliphatic;Streptozocin;A4GALT;lactosylceramide 4-alpha-galactosyltransferase;4-alpha-galactosyltransferase
K02111;C15224;WFD;Metal;Tributyltin chloride;ATPF1A;F-type H+/Na+-transporting ATPase subunit alpha;ATPase
K02111;C15224;EPC;Metal;Tributyltin chloride;ATPF1A;F-type H+/Na+-transporting ATPase subunit alpha;ATPase
K02111;C15224;WFD;Organometallic;Tributyltin chloride;ATPF1A;F-type H+/Na+-transporting ATPase subunit alpha;ATPase
K02111;C15224;EPC;Organometallic;Tributyltin chloride;ATPF1A;F-type H+/Na+-transporting ATPase subunit alpha;ATPase
K02112;C15224;EPC;Metal;Tributyltin chloride;ATPF1B;F-type H+/Na+-transporting ATPase subunit beta;ATPase
K02112;C15224;WFD;Metal;Tributyltin chloride;ATPF1B;F-type H+/Na+-transporting ATPase subunit beta;ATPase
K02112;C15224;EPC;Organometallic;Tributyltin chloride;ATPF1B;F-type H+/Na+-transporting ATPase subunit beta;ATPase
K02112;C15224;WFD;Organometallic;Tributyltin chloride;ATPF1B;F-type H+/Na+-transporting ATPase subunit beta;ATPase
K02133;C15224;WFD;Metal;Tributyltin chloride;ATPeF1B;F-type H+-transporting ATPase subunit beta;ATPase
K02133;C15224;EPC;Metal;Tributyltin chloride;ATPeF1B;F-type H+-transporting ATPase subunit beta;ATPase
K02133;C15224;WFD;Organometallic;Tributyltin chloride;ATPeF1B;F-type H+-transporting ATPase subunit beta;ATPase
K02133;C15224;EPC;Organometallic;Tributyltin chloride;ATPeF1B;F-type H+-transporting ATPase subunit beta;ATPase
K02145;C15224;WFD;Metal;Tributyltin chloride;ATPeV1A;V-type H+-transporting ATPase subunit A;ATPase
K02145;C15224;EPC;Metal;Tributyltin chloride;ATPeV1A;V-type H+-transporting ATPase subunit A;ATPase
K02145;C15224;WFD;Organometallic;Tributyltin chloride;ATPeV1A;V-type H+-transporting ATPase subunit A;ATPase
K02145;C15224;EPC;Organometallic;Tributyltin chloride;ATPeV1A;V-type H+-transporting ATPase subunit A;ATPase
K02256;C00070;EPA;Metal;Copper;COX1;cytochrome c oxidase subunit 1;oxidase
K02256;C00070;PSL;Metal;Copper;COX1;cytochrome c oxidase subunit 1;oxidase
K02256;C00070;ATSDR;Metal;Copper;COX1;cytochrome c oxidase subunit 1;oxidase
K02256;C16444;ATSDR;Aromatic;Benzidine;COX1;cytochrome c oxidase subunit 1;oxidase
K02256;C16444;IARC1;Aromatic;Benzidine;COX1;cytochrome c oxidase subunit 1;oxidase
K02256;C16444;EPA;Aromatic;Benzidine;COX1;cytochrome c oxidase subunit 1;oxidase
K02256;C16444;PSL;Aromatic;Benzidine;COX1;cytochrome c oxidase subunit 1;oxidase
K02256;C16444;ATSDR;Nitrogen-containing;Benzidine;COX1;cytochrome c oxidase subunit 1;oxidase
K02256;C16444;IARC1;Nitrogen-containing;Benzidine;COX1;cytochrome c oxidase subunit 1;oxidase
K02256;C16444;EPA;Nitrogen-containing;Benzidine;COX1;cytochrome c oxidase subunit 1;oxidase
K02256;C16444;PSL;Nitrogen-containing;Benzidine;COX1;cytochrome c oxidase subunit 1;oxidase
K02256;C19231;IARC2B;Nitrogen-containing;3,3'-Dimethoxybenzidine;COX1;cytochrome c oxidase subunit 1;oxidase
K02256;C19231;IARC2B;Polyaromatic;3,3'-Dimethoxybenzidine;COX1;cytochrome c oxidase subunit 1;oxidase
K02274;C00070;PSL;Metal;Copper;coxA;cytochrome c oxidase subunit I;oxidase
K02274;C00070;ATSDR;Metal;Copper;coxA;cytochrome c oxidase subunit I;oxidase
K02274;C00070;EPA;Metal;Copper;coxA;cytochrome c oxidase subunit I;oxidase
K02274;C16444;PSL;Aromatic;Benzidine;coxA;cytochrome c oxidase subunit I;oxidase
K02274;C16444;ATSDR;Aromatic;Benzidine;coxA;cytochrome c oxidase subunit I;oxidase
K02274;C16444;IARC1;Aromatic;Benzidine;coxA;cytochrome c oxidase subunit I;oxidase
K02274;C16444;EPA;Aromatic;Benzidine;coxA;cytochrome c oxidase subunit I;oxidase
K02274;C16444;PSL;Nitrogen-containing;Benzidine;coxA;cytochrome c oxidase subunit I;oxidase
K02274;C16444;ATSDR;Nitrogen-containing;Benzidine;coxA;cytochrome c oxidase subunit I;oxidase
K02274;C16444;IARC1;Nitrogen-containing;Benzidine;coxA;cytochrome c oxidase subunit I;oxidase
K02274;C16444;EPA;Nitrogen-containing;Benzidine;coxA;cytochrome c oxidase subunit I;oxidase
