Sample,cpd,SMILES,ChEBI,compoundname,label_Avian,label_Biodegradation,label_Crustacean,label_Eye_Corrosion,label_Eye_Irritation,label_Fathead_Minnow,label_Genomic_AMES_Mutagenesis,label_Genomic_Carcinogenesis,label_Genomic_Micronucleus,label_Honey_Bee,label_Liver_Injury_I,label_Liver_Injury_II,label_NR_AR,label_NR_AR_LBD,label_NR_AhR,label_NR_Aromatase,label_NR_ER,label_NR_ER_LBD,label_NR_GR,label_NR_PPAR_gamma,label_NR_TR,label_Respiratory_Disease,label_SR_ARE,label_SR_ATAD5,label_SR_HSE,label_SR_MMP,label_SR_p53,label_Skin_Sensitisation,label_T._Pyriformis,label_hERG_II_Inhibitor,label_hERG_I_Inhibitor,value_Avian,value_Biodegradation,value_Crustacean,value_Eye_Corrosion,value_Eye_Irritation,value_Fathead_Minnow,value_Genomic_AMES_Mutagenesis,value_Genomic_Carcinogenesis,value_Genomic_Micronucleus,value_Honey_Bee,value_Liver_Injury_I,value_Liver_Injury_II,value_NR_AR,value_NR_AR_LBD,value_NR_AhR,value_NR_Aromatase,value_NR_ER,value_NR_ER_LBD,value_NR_GR,value_NR_PPAR_gamma,value_NR_TR,value_Respiratory_Disease,value_SR_ARE,value_SR_ATAD5,value_SR_HSE,value_SR_MMP,value_SR_p53,value_Skin_Sensitisation,value_T._Pyriformis,value_hERG_II_Inhibitor,value_hERG_I_Inhibitor
BD132,C00237,[C-]#[O+],CHEBI:17245,CO,High Safety,Medium Toxicity,High Safety,Low Toxicity,High Toxicity,High Safety,High Safety,High Safety,Low Toxicity,High Toxicity,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Medium Safety,Medium Safety,High Safety,0.01,0.83,0.13,0.66,0.96,0.13,0.0,0.15,0.5,1.0,0.01,0.41,0.03,0.13,0.0,0.0,0.1,0.02,0.08,0.01,0.01,0.21,0.0,0.0,0.03,0.02,0.0,0.43,0.33,0.29,0.02
BD132,C19359,NCl,CHEBI:82415,Chloramine,High Safety,High Safety,Low Toxicity,High Toxicity,High Safety,High Safety,Low Safety,High Safety,Low Toxicity,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Toxicity,Medium Safety,Low Safety,High Safety,0.01,0.06,0.58,0.86,0.1,0.12,0.46,0.15,0.5,0.59,0.0,0.43,0.03,0.0,0.0,0.0,0.1,0.02,0.0,0.01,0.01,0.19,0.04,0.0,0.05,0.01,0.02,0.7,0.32,0.36,0.01
BD132,C06681,[H][C@]12N[C@@]1([H])CN1C3=C(C(=O)C(N)=C(C)C3=O)[C@@H](COC(N)=O)[C@]12OC,CHEBI:27504,Mitomycin,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Toxicity,High Safety,Low Toxicity,Low Safety,Low Toxicity,Medium Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,High Toxicity,Medium Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Low Toxicity,Medium Safety,High Safety,0.01,0.01,0.11,0.0,0.0,0.48,1.0,0.05,0.51,0.49,0.54,0.74,0.0,0.0,0.0,0.04,0.08,0.0,0.12,0.01,0.64,0.98,0.21,0.02,0.01,0.0,0.13,0.36,0.59,0.19,0.03
BD132,C14214,CCCCOC(=O)c1ccccc1C(=O)OCCCC,CHEBI:34687,Dibutyl phthalate,High Safety,High Toxicity,Medium Toxicity,High Safety,High Toxicity,High Toxicity,High Safety,High Safety,Low Safety,Low Toxicity,Low Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Toxicity,Medium Safety,High Safety,0.01,0.89,0.71,0.16,1.0,0.96,0.0,0.15,0.49,0.57,0.4,0.4,0.0,0.0,0.06,0.0,0.34,0.05,0.01,0.02,0.0,0.05,0.0,0.02,0.0,0.03,0.05,0.34,0.99,0.32,0.03
BD132,C14326,CNC(=O)CSP(=S)(OC)OC,CHEBI:34714,Dimethoate,High Toxicity,Medium Safety,High Toxicity,Low Toxicity,Medium Toxicity,Medium Toxicity,High Toxicity,High Safety,Low Toxicity,High Toxicity,High Safety,Low Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Toxicity,Medium Toxicity,High Safety,High Safety,0.99,0.21,1.0,0.57,0.74,0.77,1.0,0.1,0.5,1.0,0.12,0.53,0.0,0.0,0.02,0.0,0.04,0.02,0.0,0.01,0.02,0.21,0.09,0.01,0.0,0.02,0.09,0.77,0.67,0.1,0.09
BD132,C14403,Cc1ccccc1N,CHEBI:66892,ortho-Toluidine,Medium Toxicity,Low Safety,High Safety,Medium Toxicity,High Toxicity,Low Safety,High Toxicity,High Safety,Low Toxicity,High Safety,Low Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Toxicity,High Toxicity,Medium Safety,High Safety,0.69,0.46,0.0,0.79,0.98,0.37,1.0,0.15,0.5,0.0,0.44,0.36,0.0,0.0,0.14,0.0,0.06,0.0,0.0,0.01,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.79,0.85,0.18,0.03
BD132,C05361,NN,CHEBI:15571,Hydrazine,High Safety,High Safety,Medium Safety,High Toxicity,Low Safety,High Safety,High Toxicity,High Toxicity,Low Toxicity,High Toxicity,High Safety,Low Toxicity,High Safety,High Safety,Medium Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Toxicity,Medium Safety,Medium Safety,High Safety,0.01,0.09,0.22,0.85,0.35,0.12,1.0,1.0,0.5,1.0,0.07,0.61,0.02,0.01,0.79,0.0,0.1,0.02,0.0,0.01,0.0,0.4,0.05,0.0,0.03,0.03,0.02,0.87,0.18,0.23,0.0
BD132,C11004,Cc1cccc(C)c1N,CHEBI:28738,"2,6-Dimethylaniline",Medium Toxicity,High Safety,Low Toxicity,Medium Toxicity,High Toxicity,Medium Toxicity,High Toxicity,High Safety,Low Toxicity,High Safety,Low Safety,Medium Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Toxicity,High Toxicity,High Safety,High Safety,0.67,0.04,0.63,0.78,0.98,0.78,1.0,0.15,0.5,0.0,0.39,0.31,0.0,0.0,0.21,0.0,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.85,1.0,0.15,0.02
BD132,C19534,ClC(Cl)C(Cl)Cl,CHEBI:36026,"1,1,2,2-Tetrachloroethane",High Safety,High Safety,High Safety,Medium Toxicity,Medium Toxicity,High Toxicity,High Safety,High Safety,Low Toxicity,High Toxicity,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Toxicity,Low Toxicity,High Safety,0.02,0.02,0.0,0.73,0.8,0.93,0.0,0.15,0.5,0.84,0.02,0.44,0.05,0.0,0.0,0.0,0.06,0.0,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.01,0.02,0.47,0.97,0.5,0.06
BD132,C11687,C1CN1,CHEBI:30969,Aziridine,High Safety,Medium Toxicity,High Safety,Medium Toxicity,High Toxicity,High Safety,High Toxicity,High Safety,Low Toxicity,High Toxicity,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Low Safety,Low Safety,High Safety,0.01,0.82,0.15,0.76,0.89,0.04,1.0,0.15,0.5,1.0,0.0,0.31,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.01,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.45,0.4,0.34,0.09
BD132,C11151,CC(=O)[O][Hg][c]1ccccc1,CHEBI:27684,Phenylmercury acetate,High Safety,Medium Toxicity,High Safety,High Toxicity,High Toxicity,Low Safety,Medium Safety,High Safety,Low Safety,High Safety,High Toxicity,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,High Safety,Medium Toxicity,High Safety,Medium Safety,High Toxicity,High Safety,High Toxicity,High Safety,Medium Toxicity,Low Toxicity,Medium Toxicity,High Safety,High Safety,0.01,0.71,0.12,0.94,1.0,0.39,0.31,0.15,0.49,0.03,0.91,0.46,0.0,0.02,0.01,0.0,0.09,0.61,0.01,0.79,0.06,0.27,0.84,0.0,1.0,0.01,0.77,0.58,0.8,0.03,0.01
BD132,C00244,O=[N+]([O-])O,CHEBI:48107,Nitrate,High Safety,Medium Toxicity,Medium Safety,Low Toxicity,High Toxicity,Medium Safety,Low Safety,High Safety,Low Toxicity,Medium Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,Medium Toxicity,Low Safety,Low Safety,High Safety,0.01,0.8,0.28,0.59,0.88,0.22,0.43,0.15,0.5,0.29,0.0,0.45,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.01,0.0,0.21,0.34,0.02,0.0,0.06,0.01,0.69,0.45,0.35,0.02
BD132,C00556,OCc1ccccc1,CHEBI:17987,Benzyl alcohol,High Safety,High Toxicity,High Safety,High Toxicity,High Toxicity,Medium Safety,High Safety,High Safety,Low Toxicity,High Toxicity,Medium Safety,Low Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Toxicity,High Toxicity,High Safety,High Safety,0.01,0.87,0.0,0.95,1.0,0.28,0.0,0.15,0.5,0.88,0.2,0.57,0.0,0.0,0.03,0.0,0.07,0.01,0.0,0.01,0.0,0.25,0.0,0.0,0.0,0.01,0.0,0.9,0.91,0.09,0.02
BD132,C01455,Cc1ccccc1,CHEBI:17578,Toluene,High Safety,High Toxicity,High Toxicity,High Toxicity,High Toxicity,High Toxicity,High Safety,High Safety,Low Toxicity,High Safety,Low Toxicity,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,High Toxicity,Medium Safety,High Safety,0.01,0.85,1.0,0.89,1.0,0.84,0.0,0.15,0.5,0.06,0.51,0.49,0.0,0.0,0.0,0.0,0.05,0.01,0.0,0.01,0.0,0.13,0.01,0.01,0.0,0.01,0.0,0.55,1.0,0.2,0.04
BD132,C01467,Cc1cccc(O)c1,CHEBI:17231,3-Cresol,High Safety,Low Toxicity,Medium Toxicity,High Toxicity,High Toxicity,Medium Toxicity,High Safety,High Safety,Low Toxicity,Medium Safety,Low Toxicity,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Toxicity,High Toxicity,High Safety,High Safety,0.0,0.52,0.73,0.98,1.0,0.76,0.0,0.15,0.5,0.28,0.5,0.38,0.0,0.0,0.03,0.0,0.08,0.1,0.0,0.02,0.08,0.0,0.01,0.02,0.0,0.08,0.01,0.92,0.88,0.13,0.0
BD132,C01468,Cc1ccc(O)cc1,CHEBI:17847,4-Cresol,High Safety,Medium Toxicity,High Toxicity,High Toxicity,High Toxicity,High Toxicity,High Safety,High Safety,Low Toxicity,Low Safety,Medium Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Toxicity,High Toxicity,Medium Safety,High Safety,0.0,0.7,1.0,0.99,0.99,0.85,0.0,0.15,0.5,0.46,0.2,0.38,0.0,0.0,0.05,0.0,0.3,0.01,0.0,0.02,0.08,0.0,0.03,0.03,0.0,0.11,0.01,0.93,1.0,0.17,0.04
BD132,C14711,[Cl][Ni][Cl],CHEBI:34887,Nickel chloride,High Safety,High Safety,Low Toxicity,Low Toxicity,Medium Toxicity,High Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Safety,Low Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Toxicity,Low Safety,High Safety,0.01,0.06,0.52,0.59,0.72,0.15,0.29,0.15,0.5,0.84,0.01,0.66,0.0,0.0,0.0,0.0,0.09,0.01,0.08,0.01,0.04,0.22,0.01,0.0,0.11,0.05,0.07,0.31,0.88,0.37,0.03
BD132,C19610,[Mn+2],CHEBI:49786,Manganese(2+),High Safety,Medium Toxicity,High Safety,Low Safety,High Toxicity,High Safety,Medium Safety,High Safety,Low Toxicity,High Toxicity,High Safety,Low Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Low Safety,Medium Safety,High Safety,0.01,0.67,0.03,0.49,0.96,0.16,0.18,0.15,0.5,1.0,0.01,0.63,0.05,0.13,0.0,0.0,0.12,0.06,0.09,0.01,0.07,0.26,0.0,0.0,0.1,0.0,0.01,0.43,0.37,0.29,0.02
BD132,C14219,Oc1ccccc1Cl,CHEBI:47083,2-Chlorophenol,High Safety,High Safety,High Toxicity,High Toxicity,High Toxicity,High Toxicity,High Safety,High Safety,Low Toxicity,High Safety,Medium Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Toxicity,High Toxicity,High Safety,High Safety,0.03,0.12,0.89,0.99,0.99,0.89,0.0,0.15,0.5,0.04,0.2,0.48,0.0,0.0,0.08,0.0,0.06,0.01,0.0,0.02,0.0,0.14,0.02,0.01,0.0,0.12,0.02,0.8,1.0,0.1,0.01
BD132,C00090,Oc1ccccc1O,CHEBI:18135,Catechol,High Safety,Low Toxicity,Low Safety,High Toxicity,High Toxicity,High Toxicity,High Safety,High Safety,Low Toxicity,Low Toxicity,High Safety,Low Safety,High Safety,High Safety,High Toxicity,High Safety,High Safety,Low Toxicity,Medium Safety,High Safety,High Safety,High Safety,Medium Toxicity,High Safety,High Safety,High Safety,High Safety,High Toxicity,High Toxicity,High Safety,High Safety,0.01,0.64,0.35,0.85,0.99,0.87,0.13,0.15,0.5,0.51,0.15,0.47,0.0,0.0,0.86,0.08,0.11,0.56,0.23,0.02,0.0,0.0,0.69,0.01,0.0,0.06,0.08,0.84,0.95,0.16,0.0
BD132,C14595,CN(N=O)C(N)=O,CHEBI:50102,Methylnitrosourea,High Safety,Medium Safety,High Safety,Low Safety,High Toxicity,High Safety,High Toxicity,High Safety,Low Toxicity,High Safety,High Safety,Low Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Safety,High Safety,High Toxicity,High Safety,High Safety,High Toxicity,Medium Safety,High Safety,High Safety,0.01,0.31,0.12,0.42,0.98,0.15,1.0,0.15,0.5,0.09,0.01,0.5,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.01,0.0,0.42,0.0,0.0,1.0,0.01,0.0,1.0,0.29,0.1,0.01
BD132,C01197,O=C(O)/C=C/c1ccc(O)c(O)c1,CHEBI:16433,Caffeate,High Safety,Low Safety,High Safety,High Safety,High Toxicity,Medium Toxicity,High Safety,High Safety,Low Toxicity,Low Safety,High Safety,Medium Safety,High Toxicity,High Safety,Medium Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,High Toxicity,High Safety,High Safety,0.0,0.41,0.13,0.13,0.99,0.73,0.0,0.15,0.5,0.42,0.11,0.29,1.0,0.0,0.24,0.03,0.2,0.03,0.04,0.03,0.02,0.44,0.08,0.03,0.0,0.08,0.03,0.56,0.91,0.02,0.08
BD132,C07083,C=Cc1ccccc1,CHEBI:27452,Styrene,High Safety,Low Toxicity,Low Toxicity,High Toxicity,High Toxicity,Medium Toxicity,High Toxicity,High Safety,Low Toxicity,High Safety,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Toxicity,High Toxicity,Medium Safety,Medium Safety,0.0,0.51,0.54,0.97,1.0,0.81,1.0,0.15,0.5,0.0,0.07,0.42,0.0,0.0,0.04,0.0,0.07,0.0,0.01,0.01,0.0,0.26,0.01,0.02,0.0,0.0,0.0,0.77,0.99,0.24,0.24
BD132,C14286,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,CHEBI:34914,Phenolphthalein,High Safety,Medium Safety,High Toxicity,High Safety,High Toxicity,High Toxicity,High Safety,High Safety,Low Toxicity,Low Safety,High Safety,Low Safety,High Safety,High Safety,Low Toxicity,High Safety,Medium Toxicity,Low Toxicity,Medium Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Toxicity,High Safety,Medium Toxicity,High Toxicity,Low Safety,High Safety,0.01,0.33,1.0,0.0,0.98,0.97,0.0,0.15,0.5,0.49,0.0,0.36,0.0,0.0,0.56,0.0,0.83,0.53,0.75,0.03,0.15,0.0,0.11,0.05,0.0,0.76,0.15,0.72,0.98,0.48,0.12
BD132,C16038,Cn1c(N)nc2ncc(-c3ccccc3)cc21,CHEBI:76290,"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine",High Safety,High Safety,Low Toxicity,High Safety,Low Safety,Medium Toxicity,High Toxicity,High Safety,Low Toxicity,Medium Toxicity,Medium Toxicity,High Safety,High Safety,High Safety,High Toxicity,Medium Safety,Medium Safety,High Safety,High Safety,High Safety,Medium Safety,High Toxicity,Low Safety,Medium Safety,High Safety,High Safety,High Safety,Medium Toxicity,Medium Toxicity,Low Safety,High Safety,0.02,0.01,0.65,0.01,0.37,0.82,0.99,0.0,0.54,0.7,0.7,0.14,0.03,0.02,0.92,0.32,0.31,0.1,0.06,0.01,0.18,0.85,0.35,0.17,0.01,0.04,0.01,0.72,0.83,0.36,0.11
BD132,C19312,c1cc2c3c(cccc3c1)CC2,CHEBI:22154,Acenaphthene,High Safety,High Safety,High Toxicity,High Toxicity,High Toxicity,High Toxicity,High Safety,High Safety,Low Toxicity,High Safety,Medium Toxicity,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Toxicity,High Toxicity,High Safety,High Safety,0.01,0.15,1.0,0.93,1.0,0.99,0.0,0.15,0.5,0.1,0.73,0.24,0.0,0.0,0.04,0.0,0.14,0.04,0.05,0.02,0.02,0.23,0.03,0.0,0.0,0.0,0.01,0.79,0.99,0.14,0.12
BD132,C00829,c1ccc2ccccc2c1,CHEBI:16482,Naphthalene,High Safety,Medium Safety,High Toxicity,High Toxicity,High Toxicity,High Toxicity,High Safety,High Safety,Low Toxicity,High Safety,Low Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Toxicity,High Toxicity,High Safety,High Safety,0.01,0.25,1.0,0.95,0.98,0.97,0.0,0.15,0.5,0.0,0.44,0.38,0.0,0.0,0.02,0.0,0.17,0.01,0.0,0.02,0.0,0.15,0.03,0.02,0.0,0.0,0.01,0.81,0.97,0.14,0.13
BD132,C06604,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,CHEBI:27928,Parathion,High Toxicity,High Safety,Low Toxicity,High Safety,Low Toxicity,High Toxicity,Medium Toxicity,Medium Safety,Low Toxicity,High Toxicity,Low Toxicity,Medium Safety,High Safety,High Safety,High Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Toxicity,High Toxicity,Medium Safety,High Safety,0.99,0.05,0.6,0.08,0.62,0.96,0.82,0.24,0.5,1.0,0.57,0.23,0.0,0.0,0.93,0.0,0.11,0.01,0.01,0.02,0.01,0.26,0.06,0.05,0.0,0.09,0.05,0.88,0.98,0.23,0.02
BD132,C06790,ClC=C(Cl)Cl,CHEBI:16602,Trichloroethene,High Safety,High Safety,High Toxicity,High Toxicity,High Toxicity,High Toxicity,High Safety,High Safety,Low Toxicity,High Toxicity,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,Medium Toxicity,Low Safety,High Safety,0.01,0.02,1.0,0.93,0.98,0.94,0.0,0.15,0.5,0.85,0.02,0.38,0.0,0.0,0.01,0.0,0.03,0.01,0.02,0.01,0.0,1.0,0.07,0.05,0.0,0.0,0.01,0.38,0.78,0.36,0.08
BD132,C06800,[H][C@]12OC=C[C@@]1([H])c1c(cc(OC)c3c4c(c(=O)oc13)C(=O)CC4)O2,CHEBI:2504,Aflatoxin B1,High Safety,High Safety,Low Toxicity,High Safety,High Safety,High Toxicity,High Toxicity,High Safety,Low Toxicity,Medium Toxicity,High Toxicity,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Medium Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Toxicity,Medium Safety,High Safety,0.01,0.06,0.51,0.03,0.02,0.88,1.0,0.1,0.5,0.68,0.93,0.23,0.03,0.01,0.01,0.08,0.08,0.03,0.12,0.01,0.06,0.57,0.32,0.05,0.01,0.08,0.05,0.43,0.93,0.24,0.02
BD132,C07108,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CHEBI:41774,Tamoxifen,High Safety,Medium Toxicity,High Toxicity,High Safety,Low Toxicity,Medium Toxicity,High Safety,High Safety,Low Toxicity,Low Safety,Medium Toxicity,Medium Safety,High Safety,High Safety,High Safety,High Toxicity,High Safety,High Safety,Medium Safety,High Safety,Medium Safety,High Toxicity,Low Safety,High Safety,High Safety,Low Safety,High Safety,Medium Toxicity,High Toxicity,Medium Toxicity,Medium Safety,0.01,0.8,0.95,0.0,0.66,0.77,0.0,0.15,0.5,0.4,0.67,0.21,0.0,0.0,0.03,1.0,0.15,0.02,0.21,0.01,0.28,0.99,0.37,0.02,0.12,0.36,0.01,0.67,0.92,0.73,0.29
BD132,C07535,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,CHEBI:29865,Benzo[a]pyrene,Low Safety,High Safety,High Toxicity,Low Toxicity,High Toxicity,High Toxicity,High Toxicity,High Safety,Low Toxicity,Medium Safety,Low Safety,Medium Safety,High Safety,High Toxicity,High Toxicity,High Safety,Medium Safety,High Safety,Medium Toxicity,Low Toxicity,Low Safety,High Safety,High Toxicity,High Safety,High Toxicity,High Toxicity,Low Toxicity,High Toxicity,High Toxicity,Low Toxicity,Medium Safety,0.44,0.01,0.99,0.54,1.0,1.0,0.98,0.15,0.5,0.33,0.48,0.28,0.0,1.0,0.98,0.16,0.31,0.11,0.79,0.62,0.45,0.0,0.88,0.06,1.0,0.87,0.59,1.0,1.0,0.52,0.18
BD132,C14866,[H]C(=O)C(Cl)(Cl)Cl,CHEBI:48814,Chloral,High Safety,High Safety,High Safety,High Toxicity,High Toxicity,Low Toxicity,High Toxicity,High Safety,Low Toxicity,Medium Toxicity,High Safety,Low Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Toxicity,High Toxicity,Low Toxicity,High Safety,0.01,0.03,0.0,0.97,0.99,0.53,1.0,0.1,0.5,0.82,0.03,0.34,0.0,0.03,0.0,0.01,0.06,0.02,0.01,0.02,0.23,0.19,0.14,0.01,0.07,0.02,0.01,0.82,0.91,0.54,0.09
BD132,C16453,CN(CCCC(=O)c1cccnc1)N=O,CHEBI:32692,4-(N-Nitrosomethylamino)-1-(3-pyridyl)-1-butanone,High Safety,Medium Safety,Medium Safety,Low Safety,High Toxicity,Medium Safety,High Toxicity,Low Toxicity,Low Toxicity,High Safety,Medium Toxicity,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Toxicity,High Safety,High Safety,High Safety,High Safety,High Safety,Medium Toxicity,High Toxicity,High Safety,High Safety,0.01,0.17,0.25,0.44,0.87,0.33,1.0,0.66,0.5,0.03,0.69,0.25,0.02,0.04,0.15,0.03,0.13,0.0,0.01,0.01,0.01,0.74,0.02,0.0,0.12,0.0,0.08,0.77,0.85,0.04,0.01
BD132,C16756,[H][C@]12OC=C[C@@]1(O)c1c(cc(OC)c3c4c(c(=O)oc13)C(=O)CC4)O2,CHEBI:78576,Aflatoxin M1,High Safety,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,High Toxicity,High Safety,Low Toxicity,High Safety,Low Toxicity,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Medium Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Toxicity,Medium Safety,High Safety,0.01,0.08,0.34,0.0,0.07,0.74,1.0,0.1,0.5,0.02,0.64,0.2,0.02,0.05,0.03,0.08,0.11,0.02,0.12,0.01,0.07,0.57,0.27,0.03,0.03,0.04,0.04,0.34,0.91,0.28,0.02
BD132,C19585,[H][C@]12OC=C[C@@]1([H])c1c(cc(OC)c3c4c(c(=O)oc13)C(=O)C[C@@H]4O)O2,CHEBI:78582,Aflatoxin Q1,High Safety,High Safety,Low Safety,High Safety,High Safety,Medium Toxicity,High Toxicity,High Safety,Low Toxicity,Medium Toxicity,High Safety,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Medium Safety,High Safety,High Safety,High Safety,Medium Safety,Low Safety,High Toxicity,Medium Safety,High Safety,0.01,0.08,0.35,0.0,0.0,0.82,1.0,0.1,0.5,0.77,0.15,0.22,0.02,0.0,0.02,0.08,0.1,0.04,0.05,0.02,0.06,0.6,0.26,0.11,0.01,0.04,0.33,0.41,0.91,0.25,0.02
BD132,C19586,[H][C@]12O[C@]3([H])Oc4cc(OC)c5c6c(c(=O)oc5c4[C@]3([H])[C@@]1([H])O2)C(=O)CC6,CHEBI:30725,"Aflatoxin B1-exo-8,9-epoxide",High Safety,High Safety,Medium Safety,High Safety,High Safety,Medium Toxicity,High Toxicity,High Safety,Low Toxicity,Medium Toxicity,Low Toxicity,Medium Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,High Safety,Low Toxicity,Medium Safety,High Safety,High Safety,High Safety,High Safety,Low Safety,High Toxicity,Medium Safety,High Safety,0.01,0.04,0.3,0.04,0.04,0.67,1.0,0.1,0.5,0.79,0.59,0.26,0.02,0.0,0.01,0.03,0.08,0.01,0.08,0.01,0.06,0.61,0.31,0.1,0.03,0.03,0.05,0.39,0.91,0.23,0.02
